STATIONS
ST001,AC,Anna Nagar AC Hub,13.0843,80.2102,7.2,0,4,0
ST002,DCFast,Guindy DC Fast Charger,13.0067,80.2206,25,3,2,0
ST003,DCUltraFast,OMR Ultra Fast Station,12.922,80.15,60,3,3,0
ST004,AC,Koyambedu AC Station,13.069,80.1947,7.2,0,6,0
ST005,DCFast,Velachery DC Fast,12.975,80.221,25,2,2,0
ST006,DCUltraFast,T Nagar Ultra Fast,13.0418,80.2341,60,0,4,0
ST007,AC,Ambattur AC Hub,13.118,80.157,7.2,0,5,0
ST008,DCFast,Chrompet DC Charger,12.9516,80.14,25,0,3,0
USERS
U001,Ramesh Kumar,9876543210,Regular,450.75,13
U002,Priya Sharma,9123456789,Premium,1240.5,28,0
U003,Suresh Reddy,9988776655,Fleet,8750,67,,
U004,Anjali Menon,8765432109,Regular,120,5
U005,Karthik Rajan,9345678901,Premium,2150.25,45,0
U006,Deepak Singh,7890123456,Fleet,3420.8,19,,
U007,Lakshmi Narayanan,9012345678,Regular,890,33
U255,Prantik,976767676767,Regular,3000,0
U420,ROHIT,1234567890,Fleet,1970.67,9,,
U500,TANMOY,0000000000,Premium,3000,0,0
BOOKINGS
B001,,,45,1744452000,1744454700,1
B002,,,30,1744455000,1744456800,0
B003,,,60,1744460400,1744464000,0
B004,,,120,1744464000,1744471200,2
B005,,,25,1744448400,1744449900,3
B6,,,30,1779889428,1779889450,2
B7,,,30,1779893808,1779895608,0
B8,,,10,1779893856,1779894439,1
B9,,,10,1779904491,1779904508,2
B10,,,10,1779904590,1779905190,0
B11,,,10,1779905934,1779905944,2
B12,,,30,1779906067,1779906088,2
B13,,,30,1779907652,1779907675,2
B14,,,20,1779908042,1779909242,0
B15,,,30,1779908487,1779908499,2
B16,,,30,1779908533,1779910333,0
B17,,,30,1779911600,1779913400,0
B18,ST003,U420,30,1779947605,1779947635,2
SESSIONS
SESSION,B18,U420,ST003,1779947605,1779947635,0.5,22.95,Fleet
